央视,#genre#
新疆卫视 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000181?AuthInfo=xxx&userid=
云南卫视 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000208?AuthInfo=xxx&userid=
浙江卫视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000224?AuthInfo=xxx&userid=
IPTV5+ SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000149?AuthInfo=xxx&userid=
IPTV6+ SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000148?AuthInfo=xxx&userid=
IPTV8+ SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000147?AuthInfo=xxx&userid=
IPTV 春晚频道 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000150?AuthInfo=xxx&userid=
IPTV 谍战剧场 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000154?AuthInfo=xxx&userid=
IPTV 法治 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000152?AuthInfo=xxx&userid=
IPTV 经典电影 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000156?AuthInfo=xxx&userid=
IPTV 魅力时尚 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000157?AuthInfo=xxx&userid=
IPTV 热播剧 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000155?AuthInfo=xxx&userid=
IPTV 少儿动画 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000158?AuthInfo=xxx&userid=
IPTV 相声小品 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000151?AuthInfo=xxx&userid=
IPTV 野外 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000153?AuthInfo=xxx&userid=
爱生活 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000318?AuthInfo=xxx&userid=
财富天下 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000276?AuthInfo=xxx&userid=
地理 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000337?AuthInfo=xxx&userid=
都市剧场 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000336?AuthInfo=xxx&userid=
动画 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000324?AuthInfo=xxx&userid=
动作影院 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000312?AuthInfo=xxx&userid=
高网 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000316?AuthInfo=xxx&userid=
古装剧场 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000334?AuthInfo=xxx&userid=
国学 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000327?AuthInfo=xxx&userid=
光影 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000320?AuthInfo=xxx&userid=
好学生 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000323?AuthInfo=xxx&userid=
家庭影院 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000311?AuthInfo=xxx&userid=
解密 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000329?AuthInfo=xxx&userid=
精选 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000330?AuthInfo=xxx&userid=
军旅剧场 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000335?AuthInfo=xxx&userid=
军事 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000328?AuthInfo=xxx&userid=
美人 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000331?AuthInfo=xxx&userid=
美妆 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000332?AuthInfo=xxx&userid=
墨宝 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000321?AuthInfo=xxx&userid=
台球 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000319?AuthInfo=xxx&userid=
武术 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000317?AuthInfo=xxx&userid=
武侠剧 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000314?AuthInfo=xxx&userid=
戏曲 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000326?AuthInfo=xxx&userid=
喜剧影院 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000313?AuthInfo=xxx&userid=
星影 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000312?AuthInfo=xxx&userid=
音乐剧场 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000333?AuthInfo=xxx&userid=
早教 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000325?AuthInfo=xxx&userid=
足球 SD,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000315?AuthInfo=xxx&userid=
